ID,MEDV
0,18.63
1,24.72
2,14.59
3,16.53
4,20.80
5,18.44
6,16.07
7,19.24
8,34.46
9,19.12
10,22.53
11,19.58
12,17.36
13,13.85
14,13.97
15,22.58
16,15.76
17,25.43
18,19.75
19,22.17
20,23.14
21,43.52
22,20.26
23,11.42
24,14.09
25,22.82
26,13.24
27,18.79
28,22.12
29,10.59
30,38.24
31,16.42
32,15.79
33,16.85
34,19.44
35,19.83
36,30.69
37,32.36
38,43.74
39,30.07
40,16.88
41,39.27
42,21.36
43,11.38
44,22.03
45,24.29
46,16.46
47,19.76
48,14.95
49,14.16
50,16.12
51,34.09
52,21.86
53,4.93
54,14.60
55,12.44
56,18.92
57,12.90
58,6.68
59,16.95
60,16.03
61,20.84
62,35.83
63,20.50
64,41.78
65,31.57
66,12.89
67,21.92
68,21.82
69,12.55
70,14.84
71,21.35
72,23.85
73,15.74
74,16.99
75,17.70
76,16.48
77,28.39
78,16.54
79,32.37
80,34.55
81,45.84
82,27.84
83,30.43
84,15.73
85,34.79
86,9.29
87,27.08
88,15.07
89,18.07
90,12.33
91,17.05
92,12.15
93,19.57
94,17.89
95,20.30
96,37.10
97,10.70
98,11.98
99,26.74
100,25.43
101,15.19
102,28.09
103,37.54
104,35.88
